yorum,duygu
Kugerr makine ve Marmaris servis Batu Ticaret inanilmaz kotu.,negative
ürün gayet iyi ama kurulum sıkıntılı,negative
fiyatına göre cok iyi  montajı kendım yaptım sabahı bekleyemedım buyuklugu harıka,positive
"birkaç ay kullanıp atarsınız, malzeme kalitesi çok kötü. suya giren bir ürün olduğu için paslanmaz olması gerekirken , vidaları paslanıyor ve elektrik bağlantıları kopuyor.",negative
"çok kötü bir film bence,ayrıca hiçte etkilenmedim ama müzikleri çok güzel...",negative
ürün güzel memnun kaldım teşekkür ediyorum hepsi burada...,positive
fiyatına göre iyi sadece plastik aksamları biraz kötü,negative
"sanat için sanat derler ya, bu da vahset için vahşet işte. berbat bir film. yine de benim gibi sadist ruhluysanız izleyin. fakat sakın bunu testereyle kıyaslamayın, testere külttür bununla alakası yoktur. bu gereksiz bir filmdir 1/10",negative
"kesinlikle vakit geçirmeye değmez. oldukça kötü bir film. bu kadar kişi nasıl iyi not verir anlamıyorum. ayrıca o kadar çok küfür ediliyor ki, askerde bile bu kadar çok küfür duyduğumu hatırlamıyorum... sakın izlemeyin.",negative
"ürün 2 günde elime ulaştı, fiyatına göre alınabilecek en iyi ürün. belli bir bütçeyle telefon aramaya başladıysanız aramayı bırakabilirsiniz telefonunuzu buldunuz.diğer sitelerde fiyatlar daha uygun gözüküyor ama üç kuruş fazla olsun hepsiburadadan olsun.",positive
"Sonu çok tahmin edilebilir bir film.. Hep aynı hikaye. Filmin atmosferi hoş, gizemli olmuş, ama gerilim sevenleri tatmin edecek bir film olmadığını söyleyebilirim. (6,5/10)",negative
Ürün açıklamalardaki gibiydi ancak kargo firması ile sorun yaşadık kargoyu yukarıya çıkarmadılar binanın önüne attılar gittiler.,negative
tek kelimeyle olmamış.. yani bu abi ya o karakterler ne öle komedi filminden cıkmıs gibi özellikle yaslı kadın:D10/3 berbat zaman kaybı...,negative
Tesisi tavsiye etmem gideni de caydırırım otel eski hizmet sıfır.,negative
berbat bir otelyemekler çok kötü odalar çok pis personel özelliklede resepsiyondakiler çok ilgisiz,negative
"bu nedenle biraz daha bütçe ayırıp, lumia 640 serisinden bir model tercih edilmeli.",positive
